app_name,DTWC,DW,IDFP,IDS,ISQLQ,IGS,LIC,LT,MIM,NLMR,PD,RAM,SL,UC,DR,SC
2048,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,3
AnkiDroid,182,3,0,76,60,320,163,129,2240,0,0,0,661,217,0,60
BeHe Explorer,28,0,4,0,0,24,11,12,60,0,0,0,22,21,0,3
Birthday Calendar,0,0,0,0,0,12,24,15,36,0,0,0,15,18,0,0
EP Mobile,0,0,0,0,0,78,13,0,529,0,0,0,76,3,0,0
Glucosio,12,0,0,0,3,470,33,21,589,0,0,0,235,6,0,3
GnuCash,62,2,9,0,114,24,74,46,1065,0,0,0,86,305,0,9
GPSLogger,233,0,18,0,12,147,32,56,660,3,0,0,21,18,0,6
JumpGo,82,0,0,0,18,197,52,64,411,0,0,0,137,61,0,13
K-9 Mail,207,0,0,0,95,1365,287,199,2712,3,0,0,415,283,0,67
Lightning,62,0,0,0,15,192,31,33,212,0,0,0,145,34,0,12
materialistic,9,0,0,0,9,111,100,3,621,0,0,0,41,93,0,0
NetworkTools,0,0,0,0,0,0,0,8,9,0,0,0,0,3,0,0
nextcloud,1113,0,0,0,93,183,252,201,2034,0,0,0,183,621,0,24
NextINpact,18,0,0,0,12,108,0,21,84,0,0,0,9,51,0,0
Ouroboros,6,0,0,0,0,0,39,24,291,0,0,0,21,167,0,0
owncloud,568,3,0,0,87,39,146,99,1172,0,0,0,114,351,0,9
Shaarlier,0,0,0,0,21,139,15,0,95,0,0,0,6,18,0,3
Signal Private Messenger,276,45,0,9,122,2013,1157,422,5195,0,0,0,490,840,0,131
SoundWaves,72,12,0,0,27,655,141,81,1718,9,0,0,428,150,0,6
Terminal Emulator,26,6,0,8,10,12,44,27,281,0,0,0,157,47,0,8
ToneDef,0,0,0,0,0,12,15,18,86,0,0,0,45,3,0,0
xabber,80,6,4,42,388,3135,340,433,3310,0,0,0,640,370,1,1
