app_name,HAS,HBR,HMU,HSS,IGS,IOD,IWR,LIC,MIM,NLMR,UCS,UHA,UIO
2048,0,0,0,0,0,0,0,2,0,3,0,0,0
AnkiDroid,,,,,,,,,,,,,
BeHe Explorer,0,0,0,0,0,0,0,45,0,12,0,0,0
Birthday Calendar,0,0,0,0,0,0,0,0,0,0,0,0,0
EP Mobile,0,0,0,0,0,0,0,0,0,12,0,0,0
Glucosio,,,,,,,,,,,,,
GnuCash,,,,,,,,,,,,,
GPSLogger,,,,,,,,,,,,,
JumpGo,0,1,0,0,0,0,0,0,0,4,0,0,0
K-9 Mail,0,1,0,1,0,0,0,353,0,5,0,0,0
Lightning,0,0,1,0,0,0,0,0,0,3,1,1,0
materialistic,0,1,0,0,0,0,0,82,0,4,0,0,0
NetworkTools,0,0,0,0,0,0,0,8,0,1,0,0,0
nextcloud,,,,,,,,,,,,,
NextINpact,,,,,,,,,,,,,
Ouroboros,0,0,0,0,0,0,0,191,0,12,0,0,0
owncloud,,,,,,,,,,,,,
Shaarlier,0,0,0,0,0,0,0,0,0,10,0,0,0
Signal Private Messenger,,,,,,,,,,,,,
SoundWaves,,,,,,,,,,,,,
Terminal Emulator,0,0,0,0,0,0,0,45,0,6,0,0,1
ToneDef,,,,,,,,,,,,,
xabber,,,,,,,,,,,,,
